ID,English Word,Tachelhit Expression
6046,steam,"araggʷ/iriggʷ, iraggʷen"
6047,steamer,"1.A ship, boat, or locomotive powered by steam. Tanawt, tanawin"
6048,steel,itkir֎֎ iddkir֎֎ anfed֎֎ infed֎֎ aɣar֎֎ turrawt֎֎ iɣimi֎֎
6049,steelyard,"tagcrirt, tigcririn"
6050,steep,iggsern
6051,steering wheel,"addmman, iddmmanen"
6052,stemless,agʷýḍaḍ
6053,stench,"tazamma, tizammiwin"
6054,step on,akʷl
6055,stepfather,"aḥfiḍ, iḥfiḍen"
6056,stepmother,"ibba, id ibba"
6057,sterile,iggern/igan igger
6058,sterility,"taɣart, taɣarin"
6059,stereo,"isk, askiwen"
6060,stern,icqqan
6061,sternum,tanast n idmaren
6062,stick out,agʷer
6063,stick up,kceṭ
6064,stiff,1.Something that is stiff is firm and not easily bent or moved. Iqqurn
6065,stiff neck,"tiɣresi, tiɣresiwin n tifyyi"
6066,stifle,eg taqqayt
6067,stiffness,"tiɣresi, tiɣresiwin n tefyyi"
6068,stimulate,siyyes
6069,stimulation,"asiyyes, isiyyesen"
6070,stinging nettle,"taznktta, tiznkttiwin"
6071,stingy,"amidras, imidrasen"
6072,stink,ýýu
6073,stink bug,"ifrejdi, ifrejdiyen"
6074,stinking,iýýan/izzumman
6075,stipe,"tasksut, tisksutin"
6076,stir,"1.When you stir a liquid, you move it around using a spoon or stick. Smass"
6077,stir up,ssnker takat
6078,stilt,"aqqrqaw, iqqrqaqen"
6079,stock breeder,"b(mm)i- izgaren/b(mmu)u-ulli, id b(mm)i- 11 izgaren/b(mm)u-ulli"
6080,stockfish,"taɣrrust, tiɣrrusin"
6081,stocking,"tareɣa iɣzzifn, tareɣiwin iɣzzifen"
6082,stocky,afrdffus (amd iga afrdffus)֎֎ igan afrdffus
6083,stomach,"1.You stomach is the organ inside your body that process the food you eat. Adis, adisen/idasiwen/idusan"
6084,stool,"1.A seat without a back or arms, typically resting on three or four legs or on a single pedestal. Azya, azyaten/izyaten"
6085,stopover,"abeddad, ibeddaden"
6086,stopper,"tasqqunt, tisqqunin"
6087,storehouse,"agadir, igadiren/igudar"
6088,storekeeper,"asbbab, isbbaben"
6089,stork,"brradj, id brradj"
6090,storm,"iẓilliḍ, iẓilliḍen"
6091,stormy rain,"iẓilliḍ, iẓilliḍen"
6092,story,"1.A description of imaginary people and events that is written or told in order to enteratin people. Tallast/tullist, tallasin/tullisin"
6093,stove,inkan
6094,stow,sres
6095,straightaway,s zzreb
6096,straighten up,aɣʷed
6097,straightforward,irexan
6098,strainer,"tastayt, tistayin"
6099,strait,"bu-uɣaz, id bu-uɣaz"
6100,stramma,"ummad, ummaden"
6101,strand,"iẓiggʷ, iẓaggʷen"
6102,strange,1.Unusual or unexpected. iẓlin
6103,stranger,"1.A person who does not know, or is not known in, a particular place or community. U beṛṛa, ayt beṛṛa"
6104,strangle,eg taqqayt/tahurit/igiḍ
6105,strangulate,eg taqqayt/igiḍ/tahurit
6106,strangulation,"taqqayt, taqqayit"
6107,stratagem,"taklulluyt, tiklulluyin"
6108,stratum,"aẓaẓẓel, iẓuẓẓal"
6109,straw,"1.Straw is the dry, yellowish stalks from some crops. Alim"
6110,straw basket,"agʷnin, igʷninen"
6111,strawberry,"asasnu, isasnuten"
6112,streak,"tiẓiṛṛit, tiẓiṛṛitin"
6113,stream mouth,"imi, imawwen n wasif"
6114,streamer,"acddad, icadden"
6115,street,"aɣaras, iɣarasen"
6116,street performer,"ahiyyaḍ, ihiyyaḍen"
6117,strength,"1.You strength is your physical energy and the power of your muscles. Tadusi, tidusiwin"
6118,strengthen,ssdus
6119,stretch out,ẓẓel
6120,stretcher,"amisan, imisanen"
6121,stretching,"anzaɣ, anzaɣen"
6122,strict,1.Someone who is strict demands that rules and instructions are obeyed. 162 Icqqan/iqqṣḥan
6123,stride,"aẓmmaẓẓel, iẓmmuẓẓal"
6124,stride over,zzger
6125,striker,"anbbay, inbbayen n tewwuri"
6126,stripe,"tassfift, tissfifin"
6127,strive,εnfeṛ
6128,stroll,"ulluy, ulluyen"
6129,strong,1.Someone who is strong has powerful muscles. Imkkenn
6130,strong-willed,ittiqqenn
6131,structure,"1.The structure of something is the way it is made, built, or organized. Tiskkiwt, tiskkiwin"
6132,strudel,"taccfnejt/tassfnejt, ticcfnejin/tissfnejin"
6133,stubborn,1.Having or showing dogged determination not to change one's attitude or position. Igan zund taṣeṭṭat
6134,stubbornness,"taɣart, taɣarin n ixf/ugayyu"
6135,stubble,"iɣell, iɣallen"
6136,stuck,itteɣʷin
6137,student,"amḥḍaṛ, imḥḍaṛen"
6138,studious,ittiqqenn
6139,studio,"astudyu, istudyuten"
6140,studying,"almmud, ilmmuden"
6141,stuffing,"addad, addaden"
6142,stumble,1.Trip or momentarily lose one's balance; almost fall. Mmjdawelli
6143,stumble over,nggel
6144,stump,"agjja, igjjaten"
6145,stun,uhem
6146,stupid,idduqqern
6147,stunned,ifteln
6148,sturdy,ijjin
6149,sty,"tagrurt, tigʷrar"
6150,style,"11 1.The style of something is the general way in which it is done or presented. Taɣarast, tigahrasin"
6151,submarine,"tamngaḍt, timngaḍin"
6152,submerge,ngeḍ
6153,submit,kcem afus
6154,subpoena,ɣer
6155,subsequentely,ilmma
6156,substance,"tagahswsa, tiɣawsiwin"
6157,substantial,iggutn
6158,substitute for,ari
6159,subtle,ifssusn
6160,substitute,"amzzu, imzza"
6161,substitute for,ari
6162,substract,kkes
6163,suburb,"beṛṛa, id beṛṛa n tiɣremt"
6164,subway,"akabaṛ, ikabaṛen n ddu wakal֎֎"
6165,succeed,"1.If someone or something succeeds, they achieve the result that was intended. Lkem"
6166,success,"1.Success is the achievement of something that you have been trying to do. Alkkum, ilkkumen"
6167,successful,ilkemn
6168,succumb,1. To submit to an overpowering force or yield to an overwhelming desire; give up or give in. Ader/add i ixf/ugayyu
6169,such as,am-k-lli
6170,suck,ssumm
6171,suck up,ssumm
6172,sucker,"1.A flat or concave organ enabling an animal to cling to a surface by suction. Tabṛiyat, tibṛiyatin"
6173,suckle,ssngi i
6174,suction,"assumm, assumm"
6175,suckling,assumm
6176,sudden,ittawin s yat tekklit
6177,suddenly,is d ka iḍeṛ
6178,suffer,aḍen
6179,suffer in silence,kʷmmed
6180,suffer over sth,dmer
6181,suffering,"aṭṭan, aṭṭanen"
6182,suffice,qqadda
6183,sufficient,ikallan/iqqaddan/igumn/yudan/iwdan
6184,suffocate,eg taqqayt
6185,sugar,ṣṣkkʷaṛ֎֎ iẓiḍ֎֎ aẓiḍ֎֎ kakka (chld. lge.)֎֎
6186,sugar bowl,"taṛbεit, tiṛbεiyin"
6187,suggest,"1.If you suggest a plan or idea to someone, you ask them to consider doing it. Fek/ini taswingimt"
6188,suggestion,"taswingimt, tiswingimin"
6189,suicide,tineɣi n iman/ixf/ugayyu
6190,suint,"tafuẓẓi, tifuẓẓiwin"
6191,suitable,d-yuckan
6192,suitcase,"tasufra, tisufriwin"
6193,sullen,ikṛuẓn
6194,sully,aḍeṛ
6195,sulkiness,"asuff, isuffen"
6196,sum,"afus, ifassen"
6197,summary,"azigzel, izigzelen"
6198,summer,"anbdu, inbduten"
6199,summer solstice,"anṣṛa, anṣṛaten"
6200,summit,"afella, ifellaten"
6201,summon,ɣer-d
6202,sumptuous,iskkahwan
6203,sun,"1.The sun is the ball of fire in the sky that the Earth goes around. Tafukt, tifukin"
6204,sun hat,"tarazal, tarazalin"
6205,sun spurge,tinuɣa
6206,sun-tanned,ijdern s tafukt
6207,sunbathe,summer
6208,Sunday,"acur, icuren"
6209,sundial,"azmez, izmaz"
6210,sunflower,"ajjig, ijjigen n tafukt"
6211,sunlight,"tifawt, tifawin/tufawin n tafukt"
6212,sunny,inummern
6213,sunny day,"tasammart, tisammarin"
6214,sunrise,ifilfukt
6215,sunset,tiwwutci
6216,sunshine,"tifawt, tifawin n tafukt"
6217,sunstroke,"amdudu, imduduten n tafukt"
6218,suntan,"tisgeni, tisgeniwin"
6219,super,bahra ifulkin/iɣudan/iḥlan/iẓiln/icwan/ihiyyan/i ssusamn
6220,superb,bahra ifulkin/iɣudan/iḥlan/iẓiln/icwan/ihiyyan/i ssusamn
6221,superior,1.People or things that are superior are better than other similar people or things. Isugʷern
6222,supermarket,"agadaz, igadazen yufen/isugʷeren/yattuyen"
6223,supervise,bedd/bidd
6224,supervisor,"aḍaf, aḍafen"
6225,supper,"1.An evening meal, typically a light or informal one. Imnesi, imnesawen"
6226,supple,ilggʷaɣn
6227,supporter,"amawas, imawasen"
6228,suppose,1.You can say I suppose when you are not enthusiastic or completely certain about something. Ur sseneɣ/ur ss
6229,supposed,"1.If something is supposed to be done, it should be done. Xaṣṣa yad-lli"
6230,supposition,"aɣal, iɣaliwen"
6231,suppurate,ffi/ssngi aṛṣeḍ
6232,suppuration,aṛṣeḍ
6233,sure,"1.If you are sure that something is true, you have no doubt that is true. Ur g-is mad ttinit"
6234,surely,ur g-is mad ttinit/ur g-is ales awal/teffeɣ turda
6235,surface,"1.The outside part or uppermost layer of something. Udm, udmawen"
6236,surgeon,"aqqddaḥ, iqqddaḥen"
6237,surgery,"182 1.Surgery is medical treatment that involves cutting open part of a person’s body in order to repair or remove a damaged part. Tuqqdiḥt, tuqqdiḥin"
6238,surmount,zri
6239,surname,"assaɣ, assaɣen n tewja"
6240,surpass,ekk f
6241,surprising,isnufuln/issxlawn
6242,surround,ssutel
6243,survive,1.To remain alive or in existence. Dder
6244,survivor,"amnjem, imjemen"
6245,suspend,"1.If you suspend something, you delay it or stop it for a while. Sbedd"
6246,suspenders,"amagʷel, imagʷelen"
6247,suspicion,"1.Suspicion is the feeling of not trusting someone or the feeling that someone has done something wrong. Turda/ammrdu, turda/immrduten"
6248,suspicious,"1.If you are suspicious of someone or something, you do not trust them. Ilan turda/ammrdu"
6249,swaddling cloths,"tansrift, tinsrifin"
6250,swap,nfel
6251,sway,ḥlullu/hlullu/lullu
6252,swamp,"aglagal, iglagalen"
6253,swear,"1.If you swear, you use rude or obscene words. Rgem"
6254,swearer,"imgilli, imgilliten"
6255,swearing,"tagallit, tigallitin"
6256,swearword,"aεuṛiḍ, iεuṛiḍen"
6257,sweat over sth,dmer
6258,sweater,"amgiger, imgugar֎֎ amsasser, imsussar֎֎ amaryur, imaryuren֎֎ amryul, imryulen֎֎ adlaw, idlawen֎֎ taqidurt, tiqidurin֎֎"
6259,sweep,"1.If you sweep an area of ground, you push dust or rubbish off it with a brush or broom. Ssfeḍ"
6260,sweepings,"arras, arrasen"
6261,sweet clover,"taẓumaṛt, tiẓumaṛ"
6262,sweeten,ssimim
6263,sweetie,winu
6264,sweetness,"tamimt, timimin"
6265,swelling,"abzzag, ibzzagen"
6266,swerve,anef s yat tekklit
6267,swift,n tazzela/zzreb
6268,swiftly,s zzreb
6269,swim,cuccef/succef
6270,swim bladder,"angad, angaden"
6271,swimming pool,"amda, imdaten n ucuccef/usuccef֎֎ swing:  (v.) 1.If something swings, or if you swing it, it moves from side to side from a fixed point. Bbnɣel"
6272,swindle,ecc
6273,switch off,ssxsi
6274,switch on,ṛẓem/lgem
6275,swollen,ibzegn
6276,sword,"ajnwi, ijnwiyen֎֎ tazzit, tizza֎֎ agṣṭuṛ, igṣṭaṛ֎֎ aḥric, iḥricen֎֎ tafrut, tifrutin֎֎ tafrawt, tifrewin֎֎ alkʷmmi, ilkʷmmiyen֎֎"
6277,swordfish,"issgni, issgna"
6278,swoop,geḍ
6279,symbol,"tamatart, timitar/timatarin"
6280,sympathetic,ifulkin/iɣudan/iẓiln/iḥlan/icwan/ihiyyan
6281,sympathize,sarkes
6282,sympathy,afulki
6283,symptom,"tadugamt, tidugamin"
6284,synagogue,"timzgida, timzgadiwin n Udayen"
6285,synonym,"akennu, ikunna/akniwen"
6286,syringe,"tissgnit, tissgnitin"
6287,system,"asttif, isttifen"
6288,T-shirt,"ticurt, ticurin"
6289,tabacco,giṛṛu/gaṛṛu
6290,table,"1.A piece of furniture with a flat top supported by one or more legs. Tadabut, tidabutin"
6291,tablecloth,"zzif, id zzif n usu"
6292,tablespoon,"taɣnjawt, tiɣnjawin֎֎ taglut, tiglutin֎֎ tiflut, tiflutin֎֎ taggamt, tiggamin֎֎ taggʷamt, tiggʷamin֎֎ tasagʷmt, tisagʷmin֎֎"
6293,tablet,"1.A flat slab of stone, clay, or wood, used esp. for an inscription. Tusut, tusutin"
6294,tabloid,"atablwiḍ, itablwiḍen"
6295,tactic,"ataktik, itaktiken"
6296,tactless,"abujad, ibujaden"
6297,tag question,yak
6298,tail away,fiss
6299,tail off,kri
6300,tailless,agʷýḍaḍ
6301,take,1.You use ‘take’ to show what action or activity is being done. Sker
6302,take after,irwus
6303,take away,awi
6304,take off,"1.When an aircraft takes off, it leaves the ground and begins to fly. Ayyel"
6305,take on,sskcem s tewwuri
6306,take over,ili f
6307,take up room,ɣʷi/ameẓ
6308,takeaway,"1.A shop or restaurant that sells hot cooked food to be eaten elsewhere. Tiremt, tiram n wawway"
6309,tale,"tallast, tallasin"
6310,talent,"tasfekt, tisfekin"
6311,talk about,bder
6312,talkative,bi-ihriren
6313,talking,"awal, iwaliwen֎֎ amsiwel, imsiwalen֎֎ asnfel/asnnfeka n wawal֎֎ asnnfeka, issnfekaten֎֎ asnfel, isnfelen֎֎ assnḍeṛ, issnḍeṛen n iwaliwen֎֎ tuggera, tuggeriwin n iwaliwen֎֎ amsiqqir, imsiqqiren n iwaliwen/tuguriwin֎֎ amzaɣ, imzaɣen֎֎ anzaɣ, inzaɣen֎֎ amyannan, imyannanen֎֎ amsiwal, imsiwalen֎֎ amriri, imriran֎֎ aḥukku/ajukku n wawal֎֎ amjiggiṛ, imjiggiṛen֎֎ taẓit֎֎ taqqurt֎֎ …"
6314,tall,1.Someone or something that is tall is above average height. Iɣzzifn
6315,talon,"abbackaṛ, ibbackaṛen֎֎ iskil, iskilen֎֎ isker, askaren֎֎ axbac, ixbacen֎֎ tafckert, tifckar֎֎ akabbac, ikabbacen֎֎ abbackaṛ, ibbackaṛen֎֎ backaṛ, id backaṛ֎֎ abackaṛ, ibackaṛen֎֎ askeẓḍ, iskeẓḍen֎֎ abbacxar֎֎ abbacxaren֎֎ abbaxcar, ibbaxcaren֎֎ abbackaḍ, ibbackaḍen֎֎ acḥal, acḥalen֎֎ acxar, acxaren֎֎"
6316,tamarind,"tammayt, tammayin"
6317,tamarisk,"ammay, ammayen"
6318,tambourine,"tallunt, tilluna"
6319,tamp down,ddez
6320,tan,"tasguni, tisguniwin"
6321,tangle up,nxabbal
6322,tangled,inxabbaln
6323,tank,"1.A large container for storing liquid or gas. Tanuḍfi, tinuḍfiwin"
6324,tanker,"tanawt, tanawin"
6325,tanned,ijdern s tafukt
6326,tapeworm,"iɣres, iɣresen n temaḍunt"
6327,tar,tamment n iṛaman
6328,tarmac,tamment n iṛaman
6329,tarnish,aḍeṛ
6330,tasteless,izqqaqqn
6331,taster,"asmḍi/asmḍay, ismḍiyen/asmḍayen"
6332,tatters,"aderbal, iderbalen"
6333,Taurus,izger/azger
6334,tax collector,"agumrad, igumraden"
6335,taxi,"attaksi, ittaksiyen"
6336,tea,1.Tea is the dried leaves of a plant found in Asia. Atay
6337,tea bowl,"tazznbilt, tizznbilin"
6338,teach,"1.If you teach someone something, you give them information so that they know about it or know how to do it. Ssɣer"
6339,teacher,"aslmad, islmaden"
6340,teaching,"almmud, ilmmuden"
6341,team,"tarabbut, tirubba"
6342,teapot,"albrrad*, ilbrraden"
6343,tear up,bbi
6344,teardrop,"timqqit, timqqa n imṭṭawen"
6345,tease,xʷmmer
6346,teaspoon,"taɣnjawt, tiɣnjawin"
6347,teat,"tanaɣut, tinuɣa"
6348,technical,"1.Involving machines, processes, and materials used in industry, transport, and communications. N utiknik/tatiknikt"
6349,technique,"1.A particular metho of doing something. Tatiknikt, titiknikin"
6350,technology,tatiknulujit
6351,teenager,"anaẓum, inaẓumen֎֎ amawaḍ, imawaḍen֎֎ aɛzdaffu, iɛzduffa (pej.)֎֎ aɛndmmir, iɛndmmiren (pej.)֎֎ aɛntmmir, iɛntmmiren (pej.)֎֎ aɛddal, iɛddalen (pej.)֎֎ aɛddar, iɛddaren (pej.)֎֎ teens (pl. n.): tawaḍt, tiwaḍin"
6352,tee-shirt,"ariki, irikiyen"
6353,telephone,ifalan n umsiwel
6354,television,"1.A piece of electrical equipment which receives picture and sounds by electrical signals and displays them on a screen. Imiss, imassen n tilibizyun/tiniẓeṛi"
6355,tell,1.If you tell someone something you give them information about it. Ini
6356,telling-off,"tasmunt, tismunin n ixf"
6357,temper,"1.A person’s temper is their tendency to become angry very easily. Taɣara, tiɣariwin"
6358,temperament,"taɣara, tiɣariwin"
6359,temperamental,"bi-ibaḍan, id bi- ibaḍan"
6360,temperature,1.The temperature of something is how hot or cold it is. Tireqqa
6361,temporary,igan izmaz
6362,tempt,"1.If you tempt someone, you try to persuade them to do something by offering them something they want. Qqen allen"
6363,ten,"mraw, id mraw"
6364,tend,"1.If something tends to happen, it happens usually or often. Awi"
6365,temple,"1.A building devoted to the worship. Asamud, isamuden"
6366,tenant,"amɣfer, imɣferen"
6367,tendency,"amnid/mnid, imniden/id mnid"
6368,tender,1.Someone or something that is tender is gentle and caring. Ifulkin/iɣudan/iẓiln/iḥlan/icwan/ihiyyan
6369,tenderness,"taluɣi, tiluɣiwin"
6370,tendon,"azɣʷr, izɣʷran"
6371,tennis,"ttinis, id ttinis֎֎ tunnunt n tinnis, tunnunin n ttinis֎֎ tense:  (adj.) 1.If you are tense, you are nervous and cannot relax. Iḥnnqn/ikṛuẓn/iẓiyyṛn/yussn/ikresn/innuɣ cefn"
6372,tension,"afafa, ifafaten"
6373,tent,"agiṭun, igiṭan"
6374,tent peg,"tagust, tigusin"
6375,tentacle,"afus, ifassen"
6376,tepid,yulban
6377,terebinth,"igg, iggen"
6378,terminate,hiyyu
6379,terrace,"tazagurt, tizugar֎֎ iggi, iggiten֎֎ tasyut, tisyutin֎֎ asarag, isaragen֎֎ taduli, tiduliwin֎֎ tazqqa, tizqqiwin֎֎ takrbust, tikrbusin֎֎ azur, izuren֎֎ akʷfaf, ikʷfafen֎֎ iggi, iggiten֎֎ azur, izuran֎֎ taduli, tiduliwin֎֎ afella, ifellaten֎֎"
6380,terrace cultivation,"aṛḍḍam, iṛḍḍamen"
6381,terrible,1.Serious and unpleasant. Icqqan/ixʷcenn
6382,terrier,"uṣkay, uṣkayen"
6383,terrific,1.Very pleasing or impressive. Bahra ifulkin/iɣudan/iẓiln/icwan/ihiyyan/issusa mn
6384,terrify,ssiwed
6385,territory,"1.The territory of a country is the land that it controls. Akal, ikaliwen"
6386,terror,"tawda, tawdiwin"
6387,terrorism,"takṣuḍant, tikṣuḍanin (mad. tella tekṣuḍant ɣ temazirt-ad)֎֎ tawdawant, tiwdawanin"
6388,terrorize,ẓẓemu
6389,tertian fever,"tamakayt, timakayin"
6390,testicle,"aglay, iglayen"
6391,testify,fek tuggʷa/tanagit
6392,testimony,"tuggʷa, tuggʷatin"
6393,tether,"askref, iskraf"
6394,text,"1.Text is any written material. Arra, arraten"
6395,texture,"tilmi, tilmiwin"
6396,thank,"1.When you thank someone for something, you show that you are grateful for something usually by saying ‘thank you’. Snimmer"
6397,thankless,ur issen afulki
6398,thatch,"iɣell, iɣallen"
6399,thaw,fsi/bsi
6400,the,"There is no article as ‘’the’’ in Tamazight language, but we have this: a.mas. sg.: the word begins by ‘’a’’."
6401,theatre,"1.A building where plays and other forms of entertainment are performed 12 on a stage. Tigemmi, tigʷmma n umzgum֎֎ amṣṛi, imṣṛiyen n umzgum֎֎ afital, ifitalen n umzgum֎֎ amzgum, imzgumen֎֎ tin-umzgun, id tin-umzgun֎֎ 2.Theatre is the entertainment performed in a theatre. Amzgum, imzgumen"
6402,theft,tukkṛeḍa
6403,their,a.mas. pl.: nnesen
6404,theme,"aswingim, iswingimen"
6405,thimble,"talmḍaḍt, tilmḍaḍin"
6406,then,1.You use ‘then’ to refer to a particular time in the past or future. Ɣ uzmez/usra/asra/akud/tizi-ann
6407,theory,"1.An idea or set of ideas that is intended to explain something. Taswingimt, tiswingimin"
6408,thereafter,ilmma
6409,therefore,ɣay/may-ann
6410,thermometer,"amsttel, imsttelen n tereghi/tereqqa֎֎ amsɣel, imsɣelen n teregh/tereqqa֎֎"
6411,thermos,"ṭṭiṛmuṣ, id ṭṭiṛmuṣ"
6412,thick,1.Something that is thick has a large distance between its two sides. Imqqurn/ixatern
6413,thick-lipped,bi- infuren/incuren/inceran
6414,thicket,"acddir, icderan"
6415,thickness,"tazuri, tizuriwin"
6416,thickset,afrdffus (amd iga afrdffus)֎֎ igan afrdffus
6417,thief,"amxxar, imxxaren"
6418,thigh,"taɣʷma, taɣʷmiwin"
6419,thimble,"tamḍaḍt, tilmḍaḍin"
6420,thingamajig,"gar taɣawsa, id gar taɣawssa"
6421,think,"1.If you think that something is the case, you believe that it is the case. Ini"
6422,think about,swingem
6423,think tank,"taymunt, tiymunin n uswingem"
6424,think of sb,swingem
6425,think over,sak ixf
6426,thinness,"taɣuri, tiɣuriwin"
6427,third finger,"ɛbella, id ɛbella u lxatem"
6428,thirsty,irrufan
6429,thirteen,kṛaḍ d mraw
6430,thirteenth,wiss kṛaḍ d mraw
6431,thirtieth,wiss ugnar-d-mraw/wiss kṛaḍ-imrawen
6432,thirty,agnar-d-mraw/kṛaḍ-imrawen
6433,thistle,"tasnnant, tisnnanin"
6434,thong,"tassamut, tissuma"
6435,thorn,"asnnan, isnnanen"
6436,thorough,idran
6437,though,1.You use ‘though’ when you are saying something which contrasts with something else that has been said. 221 Meqqar/waxxa
6438,thought,"1.An idea or opinion that you have. Taswingimt, tiswingimim"
6439,thousand,"ifḍ, ifḍan/afḍiwen"
6440,thread,"tiɣrist, tiɣrisin֎֎ ifulu/ifili, ifalan֎֎ tasgʷert, tisgʷar֎֎ tassfift, tissfifin֎֎ tafustt, tifassin֎֎ aẓmeẓ, iẓmaẓ֎֎"
6441,threat,"1.Something or someone that seems likely to harm you. Azddu, izdduten"
6442,thrash,ut
6443,thrash about,nnẓlef
6444,threaten,"1.If someone threatens you, or if they threaten to do something unpleasant to you, they say or imply that they will do something unpleasant to you. Ggall"
6445,three,"kṛaḍ, id kṛaḍ"
6446,thresh,srut
6447,threshing,"rrwa, id rrwa"
6448,threshing floor,"annrar, innraren/innrura"
6449,thrifty,yumeẓn afus (mad. argaz yumeẓn afus nnnes)֎֎ yusin tiɣit/anzgum
6450,thrill,"tumert, tumerin"
6451,thriller,"amsftatel, imsftatelen"
6452,thrive,ṣab*
6453,throat,"223 1.The back of your mouth and the top part of the tubes inside neck. Taqqayt, taqqaytin"
6454,throat infection,azɣaɣen
6455,throttle,eg taqqayt/tahurit/igiḍ
6456,throw,"1.When you throw something you are holding, you move your hand quickly and let it go, so that it moves through the air. Luḥ-nn"
6457,throw away,luḥ
6458,throwing,"alwaḥ, ilwaḥen"
6459,thrush,"bu-tazart, id bu-tazart"
6460,thrust,ddem
6461,thug,"amkesa, imkesawen"
6462,thuja,uẓuka/aẓuka
6463,thumb,"kʷmez/kumez, id kʷmez/kumez (amad. ila uncekk n kʷmez)֎֎ thunder:  (n.) 12 1.A loud rumbling or crashing noise heard after a lightning flash due to the expansion of rapidly heated air. Iggig, aggagen"
6464,thumbtack,"fuqqs, id fuqqs"
6465,thunderstorm,"ignu, ignuten"
6466,Thursday,"amuhad, imuhaden"
6467,thus,1.Therefore. May-ann/ɣay-ann
6468,thuya,aẓuka
6469,thyme,azuknni
6470,tibia,"taɣanimt, tiɣanimin n uḍaṛ"
6471,ticket,"tanfult, tinfulin n ufru"
6472,tickle,sker herr/tigelgaḍ/tikelkaḍ/tikeṛkaḍ
6473,tide,"ifel, ifelen"
6474,tie up,ass
6475,tight-fisted,1.Not willing to spend or give much money; miserly. Igan aqqʷmcac/aqqrzaz/amidrus/akʷmas
6476,tighten,ẓiyyeṛ
6477,tightening,"assas, assasen"
6478,tightness,"tikṛeẓi/tikrezi, tikṛeẓiwin/tikreziwin"
6479,tile,"aqqrmud, iqqrmuden"
6480,tiller,"addmam, idmmamen"
6481,timber,"iflu, iflwan"
6482,timetable,"1.A plan of the times when particular activities or jobs should be done. Tizi, tiziwin"
6483,timid,illuẓẓan/ittuctaln
6484,timidity,"tamllaẓut, timlluẓa"
6485,tint,"akʷlu, ikʷlan"
6486,tiny,imẓẓikn
6487,tipcart,"akaṛṛu, ikuṛṛa"
6488,tiptoe,skkel
6489,tired,"1.If you are tired, you feel like you want to rest or sleep. Iṛmin"
6490,tiredness,"aḥfufu, iḥfufuten"
6491,tireless,ur itteṛmun
6492,tissue,"tazzift, tizzifin"
6493,title,"1.The name of a book, play, or piece of music. Azwur, izwuren"
6494,titular,"amṭṭef, imṭṭefen"
6495,toad,"agʷru, igʷra"
6496,toasted,isslin
6497,toaster,"amssli, imssliyen n uɣurum"
6498,tobacco,ṭabaɣɣa
6499,toe,"1.Your toes are the five moveable parts at the ende of your foot. Tifdentt, tifdenin"
6500,toe nail,"isker, askaren"
6501,together,"1.If people do something together, they do it with each other. Akkʷ"
6502,toil,Mmaɣ
6503,toilet,"1.A large bowl, connected to the drains, which you use to get rid of waste from your body. Tanut/imi, tinutin/imawwen n ṣṣṛeb"
6504,toiletries,tiɣawsiwin n usllili/urud...֎֎
6505,token,"tamuzunt, timuzunin"
6506,tolerance,"tasalut, tisula"
6507,tolerant,isalun/ittesalun
6508,tolerate,"1.If you tolerate things that you do not approve of ar agree with, you allow them. Ajj"
6509,toll,"1.The death toll in an accident is the number of people who have died in it. Uncekk/ancekk/acekk/uncett/ancett, id uncekk/uncett/ucekk"
6510,tomato,"tamaṭict, timiṭac"
6511,tomb,"tamḍelt, timḍelin֎֎ tasmḍelt, tismḍelin֎֎ tigemmi, tigumma/tigʷmma n tuẓẓumt֎֎ tigemmi, tigumma/tigʷmma֎֎ asmḍel, ismḍal֎֎ asnḍel, isnḍal֎֎ tardast, tardasin֎֎ tardazt, tirdazin֎֎ tardast, tirdasin n wakal֎֎"
6512,tombstone,"amnir, imniren"
6513,ton,"ṭun, id ṭun"
6514,tone,"12 1.The tone of a sound is the kind of sound it has. Awal, iwaliwen"
6515,tongue,"ils, alsiwen"
6516,tongs,iɣʷmdan
6517,tonsil,azɣaɣen
6518,too,1.Also or as well. Ura/ula/wala
6519,tool,"imiss, imassen"
6520,tooth,"axʷs, uxʷsan"
6521,toothache,"aṭṭan, aṭṭanen n uxʷsan"
6522,toothbrush,"tamjukkut, timjukkutin n uxʷsan"
6523,toothless,afrmac
6524,topic,"awal, iwaliwen"
6525,topple,luḥ
6526,torch,"1.A small portable electric lamp powered by one or more dry batteries. Inir, iniren n ufus"
6527,torment,zziwez
6528,torpedo,"tagʷlimt/taglimt, tigʷlimin/tiglimin"
6529,torque,"azlag, izlagen"
6530,torrent,"angay, ingayen"
6531,torsion,"azlag, izlagen"
6532,torticollis,"tiɣresi, tiɣresiwin n tifyyi"
6533,tortoise,"bu-tegra, id bu-tegra"
6534,Tory,"amɣʷi, imɣʷiyen"
6535,toss,"1.If you toss something somewhere, you throw it there lightly and carelessly. Ut-nn"
6536,totally,zzeɣ ixf ar ixf
6537,touched,mu iqqen uɣʷni taqqayt
6538,touching,isikrsisn
6539,tough,1.A tough person is strong and able to tolerate difficult situations. Icqqan
6540,tourism,tamallayt
6541,tourist,"amallay, imallayen"
6542,touristy,n temurruyt/temallayt/imurriyen
6543,towards,1.In the direction of. S
6544,towel,"tafuḍt, tifuḍin"
6545,tower,"agʷddim, igʷddimen"
6546,town,"tiɣremt, tiɣremin"
6547,town crier,"abrraḥ, ibrraḥen"
6548,toy,"tislit, tislatin"
